product_id,irisu,id_box,,
P007C-ZBA93,600,8,0,f606ea4c-3274-4db6-9c95-52304761b41d,
P008A-15340,100,8,0,f606ea4c-3274-4db6-9c95-52304761b41d,
P008A-15370,300,2,0,f606ea4c-3274-4db6-9c95-52304761b41d,
P008A-18820,100,8,0,f606ea4c-3274-4db6-9c95-52304761b41d,
P008A-22010,500,2,0,f606ea4c-3274-4db6-9c95-52304761b41d,
P008A-24800,600,2,0,f606ea4c-3274-4db6-9c95-52304761b41d,
P008A-37300,200,8,0,f606ea4c-3274-4db6-9c95-52304761b41d,
P008A-39100,600,2,0,f606ea4c-3274-4db6-9c95-52304761b41d,
P0120-82200,100,e,0,f606ea4c-3274-4db6-9c95-52304761b41d,
P0120-82210,100,e,0,f606ea4c-3274-4db6-9c95-52304761b41d,
P0128-39020,500,2,0,f606ea4c-3274-4db6-9c95-52304761b41d,
P0166-82200,320,2,0,f606ea4c-3274-4db6-9c95-52304761b41d,
P0166-93000,100,b,0,f606ea4c-3274-4db6-9c95-52304761b41d,
P0166-93010,100,b,0,f606ea4c-3274-4db6-9c95-52304761b41d,
P0166-93020,100,b,0,f606ea4c-3274-4db6-9c95-52304761b41d,
P0166-93100,100,e,0,f606ea4c-3274-4db6-9c95-52304761b41d,
P0166-93110,100,e,0,f606ea4c-3274-4db6-9c95-52304761b41d,
P0166-93120,100,e,0,f606ea4c-3274-4db6-9c95-52304761b41d,
P0166-93130,100,e,0,f606ea4c-3274-4db6-9c95-52304761b41d,
P016K-BS77,300,2,0,f606ea4c-3274-4db6-9c95-52304761b41d,
P016K-FT1,4000,8,0,f606ea4c-3274-4db6-9c95-52304761b41d,
P0170-67300,1000,8,0,f606ea4c-3274-4db6-9c95-52304761b41d,
P0170-96500,500,0,0,f606ea4c-3274-4db6-9c95-52304761b41d,
P0171-06F00,100,8,0,f606ea4c-3274-4db6-9c95-52304761b41d,
P0171-06G00,100,8,0,f606ea4c-3274-4db6-9c95-52304761b41d,
P0174-06G00,200,0,0,f606ea4c-3274-4db6-9c95-52304761b41d,
P0179-31300,500,2,0,f606ea4c-3274-4db6-9c95-52304761b41d,
P0192-63020,200,c,0,f606ea4c-3274-4db6-9c95-52304761b41d,
P0192-63030,200,c,0,f606ea4c-3274-4db6-9c95-52304761b41d,
P0192-63040,200,c,0,f606ea4c-3274-4db6-9c95-52304761b41d,
P0192-63050,200,c,0,f606ea4c-3274-4db6-9c95-52304761b41d,
P0192-82200,280,8,0,f606ea4c-3274-4db6-9c95-52304761b41d,
P0192-82210,280,8,0,f606ea4c-3274-4db6-9c95-52304761b41d,
P0202-82220,240,8,0,f606ea4c-3274-4db6-9c95-52304761b41d,
P0215-05Z00,100,3,0,f606ea4c-3274-4db6-9c95-52304761b41d,
P0215-05Z10,1,0,0,f606ea4c-3274-4db6-9c95-52304761b41d,
P0219-39040,1000,8,0,f606ea4c-3274-4db6-9c95-52304761b41d,
P0219-39110,500,2,0,f606ea4c-3274-4db6-9c95-52304761b41d,
P021B-02E00,52,0,0,f606ea4c-3274-4db6-9c95-52304761b41d,
P021B-02E10,52,0,0,f606ea4c-3274-4db6-9c95-52304761b41d,
P021B-02E20,52,0,0,f606ea4c-3274-4db6-9c95-52304761b41d,
P021B-82400,100,b,0,f606ea4c-3274-4db6-9c95-52304761b41d,
P0226-18520,300,8,0,f606ea4c-3274-4db6-9c95-52304761b41d,
P0242-07250S,1000,2,0,f606ea4c-3274-4db6-9c95-52304761b41d,
P0242-12700,500,2,0,f606ea4c-3274-4db6-9c95-52304761b41d,
P0242-67300,500,8,0,f606ea4c-3274-4db6-9c95-52304761b41d,
P024N-31350,100,1,0,f606ea4c-3274-4db6-9c95-52304761b41d,
P024N-34220,100,8,0,f606ea4c-3274-4db6-9c95-52304761b41d,
P0265-09420,500,8,0,f606ea4c-3274-4db6-9c95-52304761b41d,
P0300-93000,500,0,0,f606ea4c-3274-4db6-9c95-52304761b41d,
P0335-36420,360,2,0,f606ea4c-3274-4db6-9c95-52304761b41d,
P0335-PC450K,960,2,0,f606ea4c-3274-4db6-9c95-52304761b41d,
P0343-PC450K,1000,2,0,f606ea4c-3274-4db6-9c95-52304761b41d,
P0351-39000,1000,2,0,f606ea4c-3274-4db6-9c95-52304761b41d,
P0511-24800,1000,8,0,f606ea4c-3274-4db6-9c95-52304761b41d,
P0511-27500,800,8,0,f606ea4c-3274-4db6-9c95-52304761b41d,
P0545-83900,600,8,0,f606ea4c-3274-4db6-9c95-52304761b41d,
P0615-93000,1000,8,0,f606ea4c-3274-4db6-9c95-52304761b41d,
P0621-34210,600,1,0,f606ea4c-3274-4db6-9c95-52304761b41d,
P0621-34300,300,8,0,f606ea4c-3274-4db6-9c95-52304761b41d,
P0624-45900,200,4,0,f606ea4c-3274-4db6-9c95-52304761b41d,
P0719-04600,600,8,0,f606ea4c-3274-4db6-9c95-52304761b41d,
P0725-27500K,500,8,0,f606ea4c-3274-4db6-9c95-52304761b41d,
P0807-24810,250,8,0,f606ea4c-3274-4db6-9c95-52304761b41d,
P0852-72300,500,1,0,f606ea4c-3274-4db6-9c95-52304761b41d,
