id,datetime_hakkou,product_id,lot_num,amount,flag_used,date_deliver,place_deliver_id,cs_name,operator_deliver,flag_deliver,delete_flg,updated_at
899350,2019/11/13 04:23:00,CAS-NDS-20002,IN.191113-009,144,9,,,,,,,
899351,2019/11/13 04:23:00,CAS-NDS-20002,IN.191113-010,144,9,,,,,,,
899352,2019/11/13 04:23:00,CAS-NDS-20002,IN.191113-011,144,9,,,,,,,
899353,2019/11/13 04:24:00,BON-DFL-20009,191113-011,500,0,,,,,,,
899354,2019/11/13 04:24:00,BON-DFL-20009,191113-012,500,0,,,,,,,
899355,2019/11/13 04:24:00,BON-DFL-20009,191113-013,500,0,,,,,,,
899356,2019/11/13 04:24:00,BON-DFL-20009,IN.191113-011,500,0,,,,,,,
899357,2019/11/13 04:24:00,BON-DFL-20009,IN.191113-012,500,0,,,,,,,
899358,2019/11/13 04:24:00,BON-DFL-20009,IN.191113-013,500,0,,,,,,,
899359,2019/11/13 04:25:00,P2131-93020,191113-024,600,9,,,,,,,
899360,2019/11/13 04:25:00,P2131-93020,191113-025,600,9,,,,,,,
899361,2019/11/13 04:25:00,P2131-93020,191113-026,600,9,,,,,,,
899362,2019/11/13 04:25:00,P2131-93020,191113-027,600,9,,,,,,,
899363,2019/11/13 04:25:00,P2131-93020,191113-028,600,9,,,,,,,
899364,2019/11/13 04:25:00,P2131-93020,191113-029,600,9,,,,,,,
899365,2019/11/13 04:25:00,P2131-93020,191113-030,600,9,,,,,,,
899366,2019/11/13 04:25:00,P2131-93020,191113-031,600,9,,,,,,,
899367,2019/11/13 04:25:00,P2131-93020,191113-032,600,9,,,,,,,
899368,2019/11/13 04:25:00,P2131-93020,191113-033,600,9,,,,,,,
899369,2019/11/13 04:25:00,P2131-93020,191113-034,600,9,,,,,,,
899370,2019/11/13 04:25:00,P2131-93020,191113-035,600,9,,,,,,,
899371,2019/11/13 04:25:00,P2131-93020,191113-036,600,9,,,,,,,
899372,2019/11/13 04:25:00,P2131-93020,191113-037,600,9,,,,,,,
899373,2019/11/13 04:25:00,P2131-93020,191113-038,600,9,,,,,,,
899374,2019/11/13 04:25:00,P2131-93020,191113-039,600,9,,,,,,,
899375,2019/11/13 04:25:00,P2131-93020,191113-040,600,9,,,,,,,
899376,2019/11/13 04:25:00,P2131-93020,191113-041,600,9,,,,,,,
899377,2019/11/13 04:25:00,P2131-93020,191113-042,600,9,,,,,,,
899378,2019/11/13 04:25:00,P2131-93020,191113-043,600,9,,,,,,,
899379,2019/11/13 04:25:00,P2131-93020,191113-044,600,9,,,,,,,
899380,2019/11/13 04:25:00,P2131-93020,191113-045,600,9,,,,,,,
899381,2019/11/13 04:25:00,P2131-93020,191113-046,600,9,,,,,,,
899382,2019/11/13 04:25:00,P2131-93020,191113-047,600,9,,,,,,,
899383,2019/11/13 04:26:00,H0509-34430,191113-001,100,9,,,,,,,
899384,2019/11/13 04:26:00,H0509-34430,191113-002,100,9,,,,,,,
899385,2019/11/13 04:26:00,H0509-34430,191113-003,100,9,,,,,,,
899386,2019/11/13 04:26:00,H0509-34430,191113-004,100,9,,,,,,,
899387,2019/11/13 04:26:00,H0509-34430,191113-005,100,9,,,,,,,
899388,2019/11/13 04:26:00,H0509-34430,191113-006,100,9,,,,,,,
899389,2019/11/13 04:26:00,H0509-34430,191113-007,100,9,,,,,,,
899390,2019/11/13 04:26:00,H0509-34430,191113-008,100,9,,,,,,,
899391,2019/11/13 04:26:00,H0509-34430,191113-009,100,9,,,,,,,
899392,2019/11/13 04:26:00,H0509-34430,191113-010,100,9,,,,,,,
899393,2019/11/13 04:26:00,H0509-34430,191113-011,100,9,,,,,,,
899394,2019/11/13 04:26:00,H0509-34430,191113-012,100,9,,,,,,,
899395,2019/11/13 04:26:00,H0509-34430,191113-013,100,9,,,,,,,
899396,2019/11/13 04:26:00,H0509-34430,191113-014,100,9,,,,,,,
899397,2019/11/13 04:26:00,H0509-34430,191113-015,100,9,,,,,,,
899398,2019/11/13 04:26:00,H0509-34430,191113-016,100,9,,,,,,,
899399,2019/11/13 04:26:00,H0509-34430,191113-017,100,9,,,,,,,
899400,2019/11/13 04:26:00,H0509-34430,191113-018,100,9,,,,,,,
